Fecha,Valor_$_ARS,Variación_nominal_$,Variación_interanual_%,Valor_en_USD,Normativa
01/01/2010,1500,4.17,16.67,392.67,Res. 2/09 CNEPySMVyM
01/08/2010,1740,16,24.29,439.94,Res. 2/10 CNEPySMVyM
01/01/2011,1840,5.75,22.67,460,Res. 2/10 CNEPySMVyM
01/09/2011,2300,25,32.18,547.61,Res. 2/11 CNEPySMVyM
01/09/2012,2670,16.09,16.09,569.29,Res. 2/12 CNEPySMVyM
01/02/2013,2850,6.74,16.67,570,Res. 2/12 CNEPySMVyM
01/08/2013,3300,15.79,23.91,583.03,Res. 4/13 CNEPySMVyM
01/01/2014,3600,9.09,34.83,450,Res. 4/13 CNEPySMVyM
01/09/2014,4400,22.22,33.33,520.09,Res. 3/14 CNEPySMVyM
01/01/2015,4716,7.18,31,546.46,Res. 3/14 CNEPySMVyM
01/08/2015,5588,18.49,55.22,601.5,Res. 4/15 CNEPySMVyM
01/01/2016,6060,8.45,28.5,435.97,Res. 4/15 CNEPySMVyM
01/06/2016,6810,12.38,21.9,456.43,Res. 2/16 CNEPySMVyM
01/09/2016,7560,11.01,35.29,497.37,Res. 2/16 CNEPySMVyM
01/01/2017,8060,6.61,33,506.55,Res. 2/16 CNEPySMVyM
01/07/2017,8860,9.93,30.1,501.41,Res. 3-E/17 CNEPySMVyM
01/01/2018,9500,7.22,17.87,476.67,Res. 3-E/17 CNEPySMVyM
01/07/2018,10000,5.26,12.87,356.76,Res. 3-E/17 CNEPySMVyM
01/09/2018,10700,7,34.90,255.43,Res. 3/18 CNEPySMVyM
01/12/2018,11300,5,44.80,290.86,Res. 3/18 CNEPySMVyM
01/03/2019,12500,10.62,31.58,281.53,Res. 1/19 CNEPySMVyM
01/08/2019,14125,13,41.25,227.68,Res. 6/19 CNEPySMVyM
01/09/2019,15625,10.62,46.03,261.20,Res. 6/19 CNEPySMVyM
01/10/2019,16875,8,57.71,266.88,Res. 6/19 CNEPySMVyM
01/10/2020,18900,12,12,243.00,Res. 4/20 CNEPySMVyM
01/12/2020,20587,8.93,22,250.00,Res. 4/20 CNEPySMVyM
01/03/2021,21600,4.92,28,241.37,Res. 4/20 CNEPySMVyM
01/04/2021,23544,9,24.57,256.78,Res. 5/2021 CNEPySMVyM
01/05/2021,24408,3.67,29.14,262.73,Res. 5/2021 CNEPySMVyM
01/06/2021,25272,3.54,33.71,268.19,Res. 5/2021 CNEPySMVyM
01/07/2021,27216,7.69,44,285.79,Res. 6/2021 CNEPySMVyM
01/08/2021,28080,3.17,48.57,290.23,Res. 6/2021 CNEPySMVyM
01/09/2021,31104,10.77,64.57,317.39,Res. 11/2021 CNEPySMVyM
01/10/2021,32000,2.88,55.44,314.50,Res. 11/2021 CNEPySMVyM
01/02/2022,33000,3.13,52.78,309.86,Res. 11/2021 CNEPySMVyM
01/04/2022,38940,18,65.39,340.83,Res. 04/2022 CNEPySMVyM
01/06/2022,42240,8.47,67.14,340.65,Res. 04/2022 CNEPySMVyM
01/08/2022,45540,7.81,62.18,332.41,Res. 04/2022 CNEPySMVyM
01/09/2022,51200,12.43,64.61,352.50,Res. 11/2022 CNEPySMVyM
01/10/2022,54550,6.54,70.47,353.65,Res. 11/2022 CNEPySMVyM
01/11/2022,57900,6.14,80.94,348.27,Res. 11/2022 CNEPySMVyM
01/12/2022,61953,7,93.60,353.51,Res. 15/2022 CNEPySMVyM
01/01/2023,65427,5.61,98.26,351.76,Res. 15/2022 CNEPySMVyM
01/02/2023,67743,3.54,105.28,345.63,Res. 15/2022 CNEPySMVyM
01/03/2023,69500,2.59,110.61,334.94,Res. 15/2022 CNEPySMVyM
01/04/2023,80342,15.60,106.32,363.54,Res. 5/2023-5-APN-CNEPySMVyM
01/05/2023,84512,5.19,117.03,356.59,Res. 5/2023-5-APN-CNEPySMVyM
01/06/2023,87987,4.11,108.30,345.05,Res. 5/2023-5-APN-CNEPySMVyM
01/07/2023,105500,19.90,149.76,385.74,RESOL-2023-10-APN-CNEPYSMVYM#MT
01/08/2023,112500,6.64,147.04,323.74,RESOL-2023-10-APN-CNEPYSMVYM#MT
01/09/2023,118000,4.89,130.47,339.57,RESOL-2023-10-APN-CNEPYSMVYM#MT
01/10/2023,132000,11.86,141.98,379.86,RESOL-2023-15-APN-CNEPYSMVYM#MT
01/11/2023,146000,10.61,152.16,420.14,RESOL-2023-15-APN-CNEPYSMVYM#MT
